cif,a,b,c,alpha,beta,gamma,sg,cs
1542104,9.08,9.58,8.58,90.0,90.0,90.0,14,1
1542106,12.72,12.72,5.19,90.0,90.0,120.0,173,5
1542107,3.971,3.971,3.971,90.0,90.0,90.0,221,6
1542108,3.85,3.85,12.25,90.0,90.0,90.0,139,3
1542110,7.94,7.94,7.94,90.0,90.0,90.0,205,6
1542111,17.499,3.2986,8.489,90.0,103.98,90.0,12,1
1542112,17.62999,12.13,5.363,90.0,105.8,90.0,15,1
1542113,4.21,4.21,4.21,90.0,90.0,90.0,221,6
1542114,3.2314,3.2314,12.82,90.0,90.0,120.0,187,5
1542115,4.866,4.866,10.55,90.0,90.0,90.0,88,3
1542116,5.176,5.176,10.353,90.0,90.0,120.0,193,5
1542117,10.64,18.36,5.04,90.0,90.0,90.0,62,2
1542118,7.86,12.5,7.05,90.0,90.0,90.0,62,2
1542119,9.47,7.69,9.06,90.0,90.0,90.0,62,2
1542121,8.232,9.164,7.984,107.45,98.32,71.44,2,0
1542122,8.9104,5.4035,13.1054,90.0,90.0,90.0,62,2
1542123,13.3,10.6,7.0,90.0,90.0,90.0,62,2
1542124,14.265,9.869,9.043,90.0,90.0,90.0,62,2
1542125,3.931,3.931,3.931,90.0,90.0,90.0,221,6
1542126,6.39,7.74,12.87,90.0,107.97,90.0,14,1
1542129,10.43,10.93,7.69,90.0,126.5,90.0,12,1
1542130,5.413,5.413,10.87,90.0,90.0,90.0,109,3
1542131,10.71,12.8,9.93,90.0,90.0,90.0,62,2
1542132,6.535,6.535,6.535,90.0,90.0,90.0,213,6
1542133,12.405,9.516,8.5212,90.0,90.0,90.0,62,2
1542134,7.16,7.26,7.23,90.0,120.67,90.0,14,1
1542135,7.15,7.31,7.25,90.0,120.58,90.0,14,1
1542137,6.952,6.952,10.76,90.0,90.0,90.0,130,3
1542138,4.272,4.272,15.2,90.0,90.0,90.0,139,3
1542139,4.2,4.2,15.19,90.0,90.0,90.0,139,3
1542143,7.6,7.6,7.6,90.0,90.0,90.0,11,1
